Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
81.3,0.077,-0.0126
81.4,0.077,-0.01455
81.499,0.0765,-0.01275
81.601,0.0765,-0.01455
81.7,0.0765,-0.0144
81.8,0.0765,-0.01455
81.899,0.076,-0.0129
82.001,0.076,-0.0147
82.102,0.076,-0.0159
82.2,0.076,-0.0129
82.299,0.0755,-0.0108
82.4,0.0755,-0.01305
82.5,0.0755,-0.01305
82.6,0.0755,-0.01305
82.7,0.075,-0.01305
82.8,0.075,-0.01485
82.9,0.075,-0.01485
82.999,0.075,-0.0132
83.101,0.0745,-0.015
83.2,0.0745,-0.015
83.3,0.0745,-0.015
83.401,0.074,-0.0162
83.5,0.0745,-0.015
83.6,0.074,-0.01335
83.7,0.074,-0.01515
83.799,0.074,-0.0135
83.9,0.074,-0.0135
84,0.074,-0.01515
84.101,0.0735,-0.01515
84.201,0.073,-0.01635
84.299,0.0735,-0.01155
84.401,0.0735,-0.01515
84.5,0.073,-0.01515
84.6,0.073,-0.01515
84.7,0.073,-0.0153
84.799,0.073,-0.0138
84.9,0.0725,-0.0153
85,0.0725,-0.0153
85.1,0.0725,-0.0153
85.201,0.072,-0.0165
85.299,0.0725,-0.0138
85.4,0.072,-0.01395
85.499,0.072,-0.01185
85.6,0.072,-0.01545
85.7,0.072,-0.01395
85.8,0.0715,-0.01545
85.901,0.0715,-0.01545
86,0.0715,-0.01545
86.1,0.0715,-0.01545
86.2,0.071,-0.01545
86.301,0.071,-0.01665
86.399,0.0705,-0.01665
86.5,0.071,-0.0141
86.599,0.071,-0.0141
86.7,0.0705,-0.01545
86.801,0.0705,-0.0156
86.9,0.0705,-0.0141
86.999,0.0705,-0.0123
87.101,0.07,-0.01545
87.2,0.07,-0.0141
87.3,0.07,-0.0141
87.4,0.0695,-0.01545
87.5,0.0695,-0.01545
87.601,0.0695,-0.01545
87.701,0.0695,-0.0156
87.8,0.0695,-0.0156
87.9,0.069,-0.0156
88.001,0.069,-0.0165
88.1,0.0695,-0.0141
88.199,0.069,-0.0141
88.3,0.0685,-0.0156
88.4,0.0685,-0.0156
